balloon,pumps,exploded,earned,rt,participant_id,session,task
0,6,True,0,3.9520233000000644,105,1,BART
1,6,False,30,8.559732199999871,105,1,BART
2,5,True,0,3.344243100000085,105,1,BART
3,4,False,20,5.483992299999954,105,1,BART
4,2,True,0,1.9560777000001508,105,1,BART
5,10,True,0,10.975847599999724,105,1,BART
6,7,True,0,4.288053599999785,105,1,BART
7,5,True,0,2.0799207000000024,105,1,BART
8,2,True,0,1.61597619999975,105,1,BART
9,5,True,0,4.70409970000037,105,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.2,,,,,,
爆炸率(%),80.0,,,,,,
总收益(¥),50,,,,,,
每个气球平均收益(¥),5.0,,,,,,
