balloon,pumps,exploded,earned,rt,participant_id,session,task
0,2,False,10,3.0200956002809107,117,2,BART
1,2,False,10,2.642015299759805,117,2,BART
2,3,False,15,4.016967299859971,117,2,BART
3,3,False,15,4.032160599716008,117,2,BART
4,4,False,20,5.42554479977116,117,2,BART
5,3,True,0,3.811315900180489,117,2,BART
6,4,False,20,4.26251280028373,117,2,BART
7,3,False,15,3.741837200243026,117,2,BART
8,5,False,25,5.0755177000537515,117,2,BART
9,4,True,0,5.65128119988367,117,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.3,,,,,,
爆炸率(%),20.0,,,,,,
总收益(¥),130,,,,,,
每个气球平均收益(¥),13.0,,,,,,
