balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,False,25,9.42181519998121,33,2,BART
1,5,True,0,2.0486681000038516,33,2,BART
2,5,False,25,3.3004865999973845,33,2,BART
3,5,False,25,3.8838797999778762,33,2,BART
4,2,True,0,1.6682685000123456,33,2,BART
5,4,True,0,2.1505846999934874,33,2,BART
6,3,False,15,2.497589300008258,33,2,BART
7,5,False,25,4.666311200009659,33,2,BART
8,5,False,25,3.833784199989168,33,2,BART
9,3,True,0,2.210808600008022,33,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.2,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
