balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,True,0,5.593664199999694,11,2,BART
1,5,False,25,7.504202399999485,11,2,BART
2,5,True,0,5.130591099999947,11,2,BART
3,3,True,0,2.783783000000767,11,2,BART
4,3,True,0,3.3183056999987457,11,2,BART
5,5,False,25,7.3932727000010345,11,2,BART
6,6,True,0,6.963013000000501,11,2,BART
7,4,False,20,6.645431299999473,11,2,BART
8,4,False,20,8.973728299999493,11,2,BART
9,5,False,25,8.10901129999911,11,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.4,,,,,,
爆炸率(%),50.0,,,,,,
总收益(¥),115,,,,,,
每个气球平均收益(¥),11.5,,,,,,
