trial,word,color,response,rt,correct,block
0,蓝,Red,1,0.6501962002366781,True,0
1,白,Red,1,0.2695880997925997,True,0
2,绿,Red,1,0.13539450010284781,True,0
3,红,Red,1,1.4588239002041519,True,0
4,红,Blue,3,0.6803982998244464,True,0
5,红,Green,2,0.18167439987882972,True,0
6,蓝,Blue,3,0.015774700324982405,True,0
7,绿,Blue,3,0.9929834003560245,True,0
8,白,Green,2,0.90228829998523,True,0
9,绿,Blue,3,0.2776394998654723,True,0
10,绿,Green,2,0.3127878000959754,True,0
11,蓝,Blue,3,0.04384429985657334,True,0
0,蓝,Blue,3,0.22366430005058646,True,1
1,红,Green,2,0.5402704998850822,True,1
2,红,Blue,3,0.4786477000452578,True,1
3,蓝,Blue,3,0.11222760006785393,True,1
4,蓝,Green,2,0.6106753996573389,True,1
5,红,Blue,3,0.09777450002729893,True,1
6,红,Blue,3,0.8150487998500466,True,1
7,蓝,Green,2,0.18988250009715557,True,1
8,白,Blue,3,0.14971280004829168,True,1
9,红,Green,2,0.3563014999963343,True,1
10,绿,Green,2,0.05053380038589239,True,1
11,红,Blue,3,0.039471699856221676,True,1
0,白,Green,2,0.5500378999859095,True,2
1,红,Blue,3,0.18083800002932549,True,2
2,红,Red,1,0.02018079999834299,True,2
3,蓝,Blue,3,0.09331660019233823,True,2
4,绿,Red,1,0.623829800169915,True,2
5,红,Blue,3,0.3378436998464167,True,2
6,蓝,Green,2,0.47608770010992885,True,2
7,蓝,Red,1,0.007619500160217285,True,2
8,绿,Red,1,0.2976780002936721,True,2
9,白,Green,2,0.4163186000660062,True,2
10,蓝,Blue,3,0.6000014999881387,True,2
11,红,Green,1,0.015278400387614965,False,2
0,红,Green,2,1.0326168001629412,True,3
1,白,Red,1,0.9613704001531005,True,3
2,绿,Red,1,0.13207140006124973,True,3
3,红,Green,2,0.25587419979274273,True,3
4,绿,Blue,3,0.2880665003322065,True,3
5,蓝,Red,1,0.10805590031668544,True,3
6,红,Green,2,0.19929639995098114,True,3
7,白,Green,2,0.028511599637567997,True,3
8,绿,Green,2,0.8242855002172291,True,3
9,白,Red,1,0.09503589989617467,True,3
10,红,Green,2,0.11186629999428988,True,3
11,绿,Green,2,0.575662599876523,True,3
0,红,Red,1,0.12984249973669648,True,4
1,绿,Red,1,0.13588530011475086,True,4
2,绿,Green,2,1.0503820003941655,True,4
3,蓝,Blue,3,0.5899306000210345,True,4
4,绿,Red,1,0.12010549986734986,True,4
5,红,Blue,3,0.4139248002320528,True,4
6,蓝,Red,1,0.1223021000623703,True,4
7,绿,Red,1,0.3133759000338614,True,4
8,白,Blue,3,0.3179851002059877,True,4
9,蓝,Blue,3,0.0757297002710402,True,4
10,红,Blue,3,0.1576176001690328,True,4
11,红,Red,1,0.2565244999714196,True,4
0,红,Red,1,0.16923379991203547,True,5
1,红,Green,1,0.049425600096583366,False,5
2,红,Blue,3,0.49561169976368546,True,5
3,红,Red,1,0.13159779971465468,True,5
4,蓝,Red,1,0.20557660004124045,True,5
5,蓝,Green,2,0.08374419994652271,True,5
6,蓝,Green,2,0.5955674997530878,True,5
7,蓝,Red,1,0.13144070003181696,True,5
8,蓝,Green,2,0.5109612001106143,True,5
9,绿,Red,1,0.4859747998416424,True,5
10,红,Blue,3,0.3107887003570795,True,5
11,蓝,Blue,3,0.041632500011473894,True,5
0,蓝,Red,1,0.29564939998090267,True,6
1,红,Red,1,0.6573010999709368,True,6
2,蓝,Blue,3,0.6582162003032863,True,6
3,蓝,Blue,3,0.8230139999650419,True,6
4,红,Red,1,0.04432739969342947,True,6
5,红,Blue,3,0.0666891997680068,True,6
6,红,Blue,3,0.411166800186038,True,6
7,蓝,Green,2,0.8879285999573767,True,6
8,白,Blue,3,0.299853699747473,True,6
9,红,Blue,3,0.3346665999852121,True,6
10,绿,Green,2,0.08813149994239211,True,6
11,绿,Blue,3,0.13186160009354353,True,6
0,绿,Blue,3,0.4818822997622192,True,7
1,白,Blue,3,0.3718882999382913,True,7
2,白,Green,2,0.5051835998892784,True,7
3,绿,Blue,3,0.6932939998805523,True,7
4,红,Green,2,0.04385059978812933,True,7
5,绿,Green,2,0.005649600178003311,True,7
6,白,Green,2,0.17925520008429885,True,7
7,蓝,Red,1,0.1549521996639669,True,7
8,蓝,Green,2,0.6056611998938024,True,7
9,红,Blue,3,0.6747878002934158,True,7
10,白,Red,1,0.49047339987009764,True,7
11,蓝,Blue,3,0.2578601003624499,True,7
