level,n_back,block,accuracy,mean_rt,participant_id,session
block,0.0,0.0,75.0,,2,1
block,0.0,1.0,77.77777777777779,,2,1
block,1.0,0.0,37.5,,2,1
block,1.0,1.0,57.14285714285714,,2,1
block,2.0,0.0,0.0,,2,1
block,2.0,1.0,62.5,,2,1
task,0.0,all,76.47058823529412,,2,1
task,1.0,all,46.666666666666664,,2,1
task,2.0,all,50.0,,2,1
