balloon,pumps,exploded,earned,rt,participant_id,session,task
0,11,True,0,17.477752499999042,27,1,BART
1,4,True,0,5.394685400002345,27,1,BART
2,6,True,0,10.173224799997115,27,1,BART
3,7,False,35,8.252285700000357,27,1,BART
4,8,True,0,13.726864500000374,27,1,BART
5,6,True,0,6.18310620000193,27,1,BART
6,6,True,0,6.246402699998725,27,1,BART
7,8,False,40,7.260320500001399,27,1,BART
8,10,True,0,6.126664999999775,27,1,BART
9,4,True,0,2.8569949000011547,27,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,7.0,,,,,,
爆炸率(%),80.0,,,,,,
总收益(¥),75,,,,,,
每个气球平均收益(¥),7.5,,,,,,
