phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.9,4.1,20,2
baseline,neutral,5.6,2.6,20,2
baseline,negative,1.8,7.1,20,2
regulation,negative,3.45,5.65,20,2
