trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,S,False,False,,True,0,0,17,2,N-back
1,B,False,False,,True,0,0,17,2,N-back
2,X,True,True,0.4189910000004602,True,0,0,17,2,N-back
3,Z,False,False,,True,0,0,17,2,N-back
4,X,True,True,0.44811419999859936,True,0,0,17,2,N-back
5,X,True,True,0.41680619999897317,True,0,0,17,2,N-back
6,X,True,True,0.39798070000142616,True,0,0,17,2,N-back
7,Q,False,False,,True,0,0,17,2,N-back
8,C,False,False,,True,0,0,17,2,N-back
9,G,False,False,,True,0,0,17,2,N-back
10,M,False,False,,True,0,0,17,2,N-back
11,K,False,False,,True,0,0,17,2,N-back
12,E,False,False,,True,0,0,17,2,N-back
13,J,False,False,,True,0,0,17,2,N-back
14,H,False,False,,True,0,0,17,2,N-back
15,M,False,False,,True,0,0,17,2,N-back
16,U,False,False,,True,0,0,17,2,N-back
17,G,False,False,,True,0,0,17,2,N-back
18,Y,False,False,,True,0,0,17,2,N-back
19,Z,False,False,,True,0,0,17,2,N-back
20,A,False,False,,True,0,0,17,2,N-back
21,R,False,False,,True,0,0,17,2,N-back
22,J,False,False,,True,0,0,17,2,N-back
23,Y,False,False,,True,0,0,17,2,N-back
24,Z,False,False,,True,0,0,17,2,N-back
25,Z,False,False,,True,0,0,17,2,N-back
26,X,True,True,0.4510830999988684,True,0,0,17,2,N-back
27,E,False,False,,True,0,0,17,2,N-back
28,G,False,False,,True,0,0,17,2,N-back
29,I,False,False,,True,0,0,17,2,N-back
0,S,False,False,,True,0,1,17,2,N-back
1,K,False,False,,True,0,1,17,2,N-back
2,M,False,False,,True,0,1,17,2,N-back
3,U,False,False,,True,0,1,17,2,N-back
4,S,False,False,,True,0,1,17,2,N-back
5,Z,False,False,,True,0,1,17,2,N-back
6,X,True,True,0.49260899999899266,True,0,1,17,2,N-back
7,X,True,True,0.469064700000672,True,0,1,17,2,N-back
8,A,False,False,,True,0,1,17,2,N-back
9,I,False,False,,True,0,1,17,2,N-back
10,E,False,False,,True,0,1,17,2,N-back
11,X,True,True,0.43351959999927203,True,0,1,17,2,N-back
12,I,False,False,,True,0,1,17,2,N-back
13,X,True,True,0.4336499000000913,True,0,1,17,2,N-back
14,U,False,False,,True,0,1,17,2,N-back
15,B,False,False,,True,0,1,17,2,N-back
16,T,False,False,,True,0,1,17,2,N-back
17,U,False,False,,True,0,1,17,2,N-back
18,R,False,False,,True,0,1,17,2,N-back
19,Y,False,False,,True,0,1,17,2,N-back
20,B,False,False,,True,0,1,17,2,N-back
21,B,False,False,,True,0,1,17,2,N-back
22,K,False,False,,True,0,1,17,2,N-back
23,X,True,True,0.42589939999925264,True,0,1,17,2,N-back
24,V,False,False,,True,0,1,17,2,N-back
25,X,True,True,0.4541447000010521,True,0,1,17,2,N-back
26,K,False,False,,True,0,1,17,2,N-back
27,P,False,False,,True,0,1,17,2,N-back
28,U,False,False,,True,0,1,17,2,N-back
29,Z,False,False,,True,0,1,17,2,N-back
0,W,False,False,,True,1,0,17,2,N-back
1,D,False,False,,True,1,0,17,2,N-back
2,D,True,True,0.43032830000083777,True,1,0,17,2,N-back
3,V,False,False,,True,1,0,17,2,N-back
4,V,True,True,0.37778350000007777,True,1,0,17,2,N-back
5,X,False,False,,True,1,0,17,2,N-back
6,L,False,False,,True,1,0,17,2,N-back
7,K,False,False,,True,1,0,17,2,N-back
8,H,False,False,,True,1,0,17,2,N-back
9,H,True,True,0.34548499999982596,True,1,0,17,2,N-back
10,H,True,True,0.46048250000058033,True,1,0,17,2,N-back
11,H,True,True,0.3543360000003304,True,1,0,17,2,N-back
12,A,False,False,,True,1,0,17,2,N-back
13,B,False,False,,True,1,0,17,2,N-back
14,R,False,False,,True,1,0,17,2,N-back
15,F,False,False,,True,1,0,17,2,N-back
16,X,False,False,,True,1,0,17,2,N-back
17,X,True,True,0.467993900001602,True,1,0,17,2,N-back
18,P,False,False,,True,1,0,17,2,N-back
19,P,True,True,0.4148419000011927,True,1,0,17,2,N-back
20,B,False,False,,True,1,0,17,2,N-back
21,R,False,False,,True,1,0,17,2,N-back
22,T,False,False,,True,1,0,17,2,N-back
23,T,True,True,0.4376025999990816,True,1,0,17,2,N-back
24,I,False,False,,True,1,0,17,2,N-back
25,Y,False,False,,True,1,0,17,2,N-back
26,Y,True,True,0.3769494999996823,True,1,0,17,2,N-back
27,X,False,False,,True,1,0,17,2,N-back
28,O,False,False,,True,1,0,17,2,N-back
29,S,False,False,,True,1,0,17,2,N-back
