balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,True,0,3.835705900000903,13,2,BART
1,3,False,15,2.068886199998815,13,2,BART
2,3,True,0,1.155027600001631,13,2,BART
3,3,False,15,3.1035683000009158,13,2,BART
4,3,True,0,4.07239909999771,13,2,BART
5,2,False,10,2.459576000001107,13,2,BART
6,3,False,15,2.6922878000004857,13,2,BART
7,3,False,15,2.125963700000284,13,2,BART
8,2,False,10,2.2406961000015144,13,2,BART
9,3,False,15,2.098914700000023,13,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,2.9,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),95,,,,,,
每个气球平均收益(¥),9.5,,,,,,
