balloon,pumps,exploded,earned,rt,participant_id,session,task
0,6,True,0,7.242941799981054,33,1,BART
1,5,True,0,2.5829120999842416,33,1,BART
2,4,False,20,3.215845700004138,33,1,BART
3,4,True,0,2.754187799990177,33,1,BART
4,4,False,20,3.388356500014197,33,1,BART
5,5,False,25,4.999953099992126,33,1,BART
6,5,False,25,5.517719299998134,33,1,BART
7,5,False,25,4.182888300012564,33,1,BART
8,5,False,25,3.766974099999061,33,1,BART
9,5,False,25,4.307952600007411,33,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.8,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),165,,,,,,
每个气球平均收益(¥),16.5,,,,,,
