trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,X,True,False,,False,0,0,112,1,N-back
1,M,False,False,,True,0,0,112,1,N-back
2,N,False,False,,True,0,0,112,1,N-back
3,H,False,False,,True,0,0,112,1,N-back
4,F,False,False,,True,0,0,112,1,N-back
5,B,False,False,,True,0,0,112,1,N-back
6,R,False,False,,True,0,0,112,1,N-back
7,X,True,True,0.3500649998895824,True,0,0,112,1,N-back
8,L,False,False,,True,0,0,112,1,N-back
9,W,False,False,,True,0,0,112,1,N-back
10,X,True,True,0.4124374999664724,True,0,0,112,1,N-back
11,X,True,True,0.3558421996422112,True,0,0,112,1,N-back
12,E,False,False,,True,0,0,112,1,N-back
13,P,False,False,,True,0,0,112,1,N-back
14,O,False,False,,True,0,0,112,1,N-back
15,V,False,False,,True,0,0,112,1,N-back
16,Y,False,False,,True,0,0,112,1,N-back
17,Y,False,False,,True,0,0,112,1,N-back
18,N,False,False,,True,0,0,112,1,N-back
19,T,False,False,,True,0,0,112,1,N-back
20,C,False,False,,True,0,0,112,1,N-back
21,C,False,False,,True,0,0,112,1,N-back
22,X,True,True,0.31833120016381145,True,0,0,112,1,N-back
23,V,False,False,,True,0,0,112,1,N-back
24,B,False,False,,True,0,0,112,1,N-back
25,G,False,False,,True,0,0,112,1,N-back
26,E,False,False,,True,0,0,112,1,N-back
27,W,False,False,,True,0,0,112,1,N-back
28,X,True,True,0.32324850000441074,True,0,0,112,1,N-back
29,Q,False,False,,True,0,0,112,1,N-back
0,F,False,False,,True,0,1,112,1,N-back
1,U,False,False,,True,0,1,112,1,N-back
2,Z,False,False,,True,0,1,112,1,N-back
3,I,False,False,,True,0,1,112,1,N-back
4,S,False,False,,True,0,1,112,1,N-back
5,X,True,True,0.38256810000166297,True,0,1,112,1,N-back
6,R,False,False,,True,0,1,112,1,N-back
7,A,False,False,,True,0,1,112,1,N-back
8,D,False,False,,True,0,1,112,1,N-back
9,K,False,False,,True,0,1,112,1,N-back
10,X,True,True,0.3425624999217689,True,0,1,112,1,N-back
11,X,True,True,0.35220220033079386,True,0,1,112,1,N-back
12,X,True,True,0.3531595002859831,True,0,1,112,1,N-back
13,P,False,False,,True,0,1,112,1,N-back
14,K,False,False,,True,0,1,112,1,N-back
15,X,True,True,0.33774480037391186,True,0,1,112,1,N-back
16,B,False,False,,True,0,1,112,1,N-back
17,A,False,False,,True,0,1,112,1,N-back
18,G,False,False,,True,0,1,112,1,N-back
19,D,False,False,,True,0,1,112,1,N-back
20,K,False,False,,True,0,1,112,1,N-back
21,D,False,False,,True,0,1,112,1,N-back
22,G,False,False,,True,0,1,112,1,N-back
23,K,False,False,,True,0,1,112,1,N-back
24,M,False,False,,True,0,1,112,1,N-back
25,P,False,False,,True,0,1,112,1,N-back
26,Z,False,False,,True,0,1,112,1,N-back
27,S,False,False,,True,0,1,112,1,N-back
28,V,False,False,,True,0,1,112,1,N-back
29,X,True,True,0.39957839995622635,True,0,1,112,1,N-back
0,V,False,False,,True,1,0,112,1,N-back
1,J,False,False,,True,1,0,112,1,N-back
