balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,False,20,4.608183499891311,116,2,BART
1,4,False,20,3.1818428998813033,116,2,BART
2,5,False,25,2.583455200307071,116,2,BART
3,3,False,15,1.9173276000656188,116,2,BART
4,4,False,20,2.3158860001713037,116,2,BART
5,5,False,25,2.499663900118321,116,2,BART
6,4,False,20,2.5177536997944117,116,2,BART
7,5,False,25,2.1995383999310434,116,2,BART
8,6,False,30,3.200347499921918,116,2,BART
9,5,False,25,3.099582700058818,116,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.5,,,,,,
爆炸率(%),0.0,,,,,,
总收益(¥),225,,,,,,
每个气球平均收益(¥),22.5,,,,,,
