balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,False,25,5.345413799999733,17,2,BART
1,5,True,0,6.076629999999568,17,2,BART
2,3,False,15,3.92195570000149,17,2,BART
3,4,False,20,4.307757799999308,17,2,BART
4,3,False,15,5.467157200000656,17,2,BART
5,4,False,20,4.041103799998382,17,2,BART
6,4,False,20,4.050651199999265,17,2,BART
7,4,True,0,3.73671049999939,17,2,BART
8,3,False,15,3.671121299999868,17,2,BART
9,3,True,0,4.485178700000688,17,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.8,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),130,,,,,,
每个气球平均收益(¥),13.0,,,,,,
