phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,2.85,5.8,118,2
baseline,neutral,2.65,5.6,118,2
baseline,negative,1.95,5.55,118,2
regulation,negative,2.8,5.45,118,2
