balloon,pumps,exploded,earned,rt,participant_id,session,task
0,10,True,0,15.536870099997032,28,1,BART
1,2,True,0,2.7797145000076853,28,1,BART
2,4,True,0,6.770447300004889,28,1,BART
3,6,True,0,9.651036499999464,28,1,BART
4,2,True,0,3.0437257000012323,28,1,BART
5,5,False,25,12.432037999999011,28,1,BART
6,5,True,0,4.566349500004435,28,1,BART
7,6,False,30,7.201184000005014,28,1,BART
8,4,True,0,3.575281700002961,28,1,BART
9,5,True,0,4.942250899999635,28,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.9,,,,,,
爆炸率(%),80.0,,,,,,
总收益(¥),55,,,,,,
每个气球平均收益(¥),5.5,,,,,,
