balloon,pumps,exploded,earned,rt,participant_id,session,task
0,8,True,0,7.830527400001301,2,1,BART
1,4,True,0,1.5554564999983995,2,1,BART
2,6,False,30,10.214433900000586,2,1,BART
3,6,False,30,12.033937999996851,2,1,BART
4,5,False,25,4.873763700001291,2,1,BART
5,5,False,25,3.1767937000004167,2,1,BART
6,5,False,25,2.8822971000008692,2,1,BART
7,5,False,25,3.432504999997036,2,1,BART
8,5,False,25,3.0007365999990725,2,1,BART
9,5,False,25,3.75882669999919,2,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.4,,,,,,
爆炸率(%),20.0,,,,,,
总收益(¥),210,,,,,,
每个气球平均收益(¥),21.0,,,,,,
