phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,5.8,5.65,23,2
baseline,neutral,5.05,4.6,23,2
baseline,negative,4.2,5.65,23,2
regulation,negative,4.85,5.05,23,2
