balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,5.94551539999884,26,2,BART
1,4,False,20,5.557898500001102,26,2,BART
2,3,False,15,3.025127099999736,26,2,BART
3,5,False,25,7.109210400001757,26,2,BART
4,4,True,0,5.079546799999662,26,2,BART
5,1,False,5,2.3115766999999323,26,2,BART
6,3,False,15,3.8580136000000493,26,2,BART
7,4,True,0,4.226686100000734,26,2,BART
8,2,False,10,2.6980665999999474,26,2,BART
9,2,True,0,2.9545166000007157,26,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.1,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),105,,,,,,
每个气球平均收益(¥),10.5,,,,,,
