phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.2,3.8,24,1
baseline,neutral,5.55,4.95,24,1
baseline,negative,3.6,6.85,24,1
regulation,negative,4.65,5.3,24,1
