level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,382.16515832270187,,100.0,,,382.16515832270187,,7,1
block,2,100.0,182.39948333939537,,100.0,,,182.39948333939537,,7,1
block,3,100.0,282.8989000020859,,100.0,,,282.8989000020859,,7,1
block,4,100.0,198.80651665152982,,100.0,,,198.80651665152982,,7,1
block,5,91.66666666666666,185.07959999260493,,91.66666666666666,,,185.07959999260493,,7,1
block,6,100.0,104.54419999344584,,100.0,,,104.54419999344584,,7,1
block,7,83.33333333333334,153.15184998326004,,83.33333333333334,,,153.15184998326004,,7,1
block,8,100.0,104.70028333171892,,100.0,,,104.70028333171892,,7,1
total,all,96.875,199.21824895209284,,96.875,,,199.21824895209284,,7,1
