balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,5.7606418000068516,23,1,BART
1,5,False,25,8.775181600009091,23,1,BART
2,4,True,0,6.582709199996316,23,1,BART
3,5,False,25,6.849685499997577,23,1,BART
4,3,True,0,7.844312900007935,23,1,BART
5,5,False,25,5.930798200002755,23,1,BART
6,6,False,30,10.116145799998776,23,1,BART
7,2,True,0,5.573164900008123,23,1,BART
8,4,True,0,5.979514499995275,23,1,BART
9,3,False,15,4.564422600000398,23,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.0,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),135,,,,,,
每个气球平均收益(¥),13.5,,,,,,
