balloon,pumps,exploded,earned,rt,participant_id,session,task
0,6,True,0,8.639236400136724,113,1,BART
1,4,False,20,4.124489200068638,113,1,BART
2,3,True,0,3.6518729999661446,113,1,BART
3,4,False,20,5.072339800186455,113,1,BART
4,2,False,10,9.50001489999704,113,1,BART
5,4,False,20,5.076341799926013,113,1,BART
6,4,False,20,9.473075000103563,113,1,BART
7,5,False,25,11.425351900048554,113,1,BART
8,3,False,15,7.599933600053191,113,1,BART
9,5,True,0,3.261590000009164,113,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.0,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),130,,,,,,
每个气球平均收益(¥),13.0,,,,,,
