balloon,pumps,exploded,earned,rt,participant_id,session,task
0,6,False,30,8.609381399990525,31,1,BART
1,6,True,0,6.790437699994072,31,1,BART
2,8,True,0,8.984206399996765,31,1,BART
3,5,True,0,6.280059200013056,31,1,BART
4,7,True,0,8.993752199981827,31,1,BART
5,5,False,25,5.868786500010174,31,1,BART
6,8,False,40,9.31731809998746,31,1,BART
7,3,True,0,3.593275299994275,31,1,BART
8,6,True,0,6.140339100005804,31,1,BART
9,7,True,0,6.827625799982343,31,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,6.1,,,,,,
爆炸率(%),70.0,,,,,,
总收益(¥),95,,,,,,
每个气球平均收益(¥),9.5,,,,,,
