balloon,pumps,exploded,earned,rt,participant_id,session,task
0,2,False,10,2.2889081998728216,110,2,BART
1,2,False,10,2.550099599873647,110,2,BART
2,3,False,15,2.375195699976757,110,2,BART
3,3,False,15,3.11642189999111,110,2,BART
4,4,True,0,2.4856060000602156,110,2,BART
5,3,False,15,3.072723599849269,110,2,BART
6,3,False,15,4.083405999932438,110,2,BART
7,3,True,0,4.841722399927676,110,2,BART
8,2,True,0,4.295817699981853,110,2,BART
9,1,False,5,2.537571799941361,110,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,2.6,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),85,,,,,,
每个气球平均收益(¥),8.5,,,,,,
