balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,7.315084399655461,122,1,BART
1,4,False,20,6.624394199810922,122,1,BART
2,5,False,25,12.656833000015467,122,1,BART
3,2,False,10,3.7756127999164164,122,1,BART
4,4,False,20,5.016355600208044,122,1,BART
5,6,False,30,11.208623200189322,122,1,BART
6,3,False,15,3.4420322999358177,122,1,BART
7,4,False,20,4.265986999962479,122,1,BART
8,4,True,0,7.154406700283289,122,1,BART
9,2,True,0,3.662464000284672,122,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.7,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
