trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,R,False,False,,True,0,0,122,1,N-back
1,I,False,False,,True,0,0,122,1,N-back
2,B,False,False,,True,0,0,122,1,N-back
3,K,False,False,,True,0,0,122,1,N-back
4,G,False,False,,True,0,0,122,1,N-back
5,K,False,False,,True,0,0,122,1,N-back
6,Y,False,False,,True,0,0,122,1,N-back
7,O,False,False,,True,0,0,122,1,N-back
8,X,True,True,0.36815830040723085,True,0,0,122,1,N-back
9,H,False,False,,True,0,0,122,1,N-back
10,J,False,False,,True,0,0,122,1,N-back
11,C,False,False,,True,0,0,122,1,N-back
12,B,False,False,,True,0,0,122,1,N-back
13,B,False,False,,True,0,0,122,1,N-back
14,H,False,False,,True,0,0,122,1,N-back
15,X,True,True,0.42779870005324483,True,0,0,122,1,N-back
16,P,False,False,,True,0,0,122,1,N-back
17,S,False,False,,True,0,0,122,1,N-back
18,V,False,False,,True,0,0,122,1,N-back
19,A,False,False,,True,0,0,122,1,N-back
20,X,True,True,0.4830152001231909,True,0,0,122,1,N-back
21,M,False,False,,True,0,0,122,1,N-back
22,G,False,False,,True,0,0,122,1,N-back
23,S,False,False,,True,0,0,122,1,N-back
24,W,False,False,,True,0,0,122,1,N-back
25,M,False,False,,True,0,0,122,1,N-back
26,U,False,False,,True,0,0,122,1,N-back
27,J,False,False,,True,0,0,122,1,N-back
28,R,False,False,,True,0,0,122,1,N-back
29,L,False,False,,True,0,0,122,1,N-back
0,Q,False,False,,True,0,1,122,1,N-back
1,X,True,True,0.31865220004692674,True,0,1,122,1,N-back
2,V,False,False,,True,0,1,122,1,N-back
3,Y,False,False,,True,0,1,122,1,N-back
4,X,True,True,0.39916299981996417,True,0,1,122,1,N-back
5,X,True,True,0.4267357997596264,True,0,1,122,1,N-back
6,K,False,False,,True,0,1,122,1,N-back
7,L,False,False,,True,0,1,122,1,N-back
8,Z,False,False,,True,0,1,122,1,N-back
9,Y,False,False,,True,0,1,122,1,N-back
10,X,True,False,,False,0,1,122,1,N-back
11,V,False,False,,True,0,1,122,1,N-back
12,W,False,False,,True,0,1,122,1,N-back
13,X,True,True,0.30282399989664555,True,0,1,122,1,N-back
14,A,False,False,,True,0,1,122,1,N-back
15,B,False,False,,True,0,1,122,1,N-back
16,L,False,False,,True,0,1,122,1,N-back
17,I,False,False,,True,0,1,122,1,N-back
18,Z,False,False,,True,0,1,122,1,N-back
19,L,False,False,,True,0,1,122,1,N-back
20,X,True,True,0.37819060031324625,True,0,1,122,1,N-back
21,X,True,True,0.45771490037441254,True,0,1,122,1,N-back
22,E,False,False,,True,0,1,122,1,N-back
23,I,False,False,,True,0,1,122,1,N-back
24,X,True,True,0.3993337000720203,True,0,1,122,1,N-back
25,A,False,False,,True,0,1,122,1,N-back
26,X,True,True,0.3330286997370422,True,0,1,122,1,N-back
27,U,False,False,,True,0,1,122,1,N-back
28,X,True,True,0.3097294997423887,True,0,1,122,1,N-back
29,P,False,False,,True,0,1,122,1,N-back
0,D,False,False,,True,1,0,122,1,N-back
1,O,False,False,,True,1,0,122,1,N-back
2,H,False,False,,True,1,0,122,1,N-back
3,N,False,False,,True,1,0,122,1,N-back
4,B,False,False,,True,1,0,122,1,N-back
5,B,True,False,,False,1,0,122,1,N-back
6,K,False,False,,True,1,0,122,1,N-back
7,X,False,False,,True,1,0,122,1,N-back
8,F,False,False,,True,1,0,122,1,N-back
9,S,False,False,,True,1,0,122,1,N-back
10,S,True,False,,False,1,0,122,1,N-back
11,I,False,False,,True,1,0,122,1,N-back
12,I,True,True,0.4639048003591597,True,1,0,122,1,N-back
13,T,False,False,,True,1,0,122,1,N-back
14,T,True,True,0.3396220998838544,True,1,0,122,1,N-back
15,N,False,False,,True,1,0,122,1,N-back
16,N,True,True,0.30488809989765286,True,1,0,122,1,N-back
17,L,False,False,,True,1,0,122,1,N-back
18,U,False,False,,True,1,0,122,1,N-back
19,W,False,False,,True,1,0,122,1,N-back
20,A,False,False,,True,1,0,122,1,N-back
21,R,False,False,,True,1,0,122,1,N-back
22,R,True,True,0.29840710014104843,True,1,0,122,1,N-back
23,P,False,False,,True,1,0,122,1,N-back
24,F,False,False,,True,1,0,122,1,N-back
25,R,False,False,,True,1,0,122,1,N-back
