phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.1,3.35,24,2
baseline,neutral,5.6,4.5,24,2
baseline,negative,3.15,6.75,24,2
regulation,negative,4.25,5.8,24,2
