balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,4.249420500000269,16,2,BART
1,4,False,20,4.098682999999255,16,2,BART
2,4,False,20,3.5071112000005087,16,2,BART
3,5,False,25,6.2758505000001605,16,2,BART
4,4,False,20,3.291327399999318,16,2,BART
5,5,False,25,3.8335485000006884,16,2,BART
6,5,True,0,5.27945550000004,16,2,BART
7,4,False,20,3.170383900000161,16,2,BART
8,4,False,20,3.892174100000375,16,2,BART
9,4,True,0,4.760229800000161,16,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.2,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),150,,,,,,
每个气球平均收益(¥),15.0,,,,,,
