level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,318.8547916652169,,100.0,,,318.8547916652169,,23,2
block,2,91.66666666666666,290.4256999997112,,91.66666666666666,,,290.4256999997112,,23,2
block,3,100.0,206.6376166670428,,100.0,,,206.6376166670428,,23,2
block,4,100.0,318.05985833489103,,100.0,,,318.05985833489103,,23,2
block,5,100.0,189.22019999930248,,100.0,,,189.22019999930248,,23,2
block,6,100.0,135.30166666654017,,100.0,,,135.30166666654017,,23,2
block,7,100.0,289.39415000058943,,100.0,,,289.39415000058943,,23,2
block,8,100.0,240.9159499972399,,100.0,,,240.9159499972399,,23,2
total,all,98.95833333333334,248.60124166631672,,98.95833333333334,,,248.60124166631672,,23,2
