level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,270.7401083704705,100.0,100.0,100.0,658.9847500436008,193.09118003584445,150.7404833488787,113,2
block,2,100.0,188.8219167206747,100.0,100.0,100.0,27.174550108611584,221.1513900430873,161.32059996016324,113,2
block,3,100.0,271.15390830052394,100.0,100.0,100.0,271.087949979119,271.16709996480495,337.8360599745065,113,2
block,4,100.0,230.6782417387391,100.0,100.0,100.0,284.63829995598644,219.88623009528965,283.61205011606216,113,2
block,5,100.0,215.1265416565972,100.0,100.0,100.0,72.2346999682486,262.7571555527134,410.25094990618527,113,2
block,6,100.0,295.9310416675483,100.0,100.0,100.0,644.3427000194788,226.24870999716222,128.73027502791956,113,2
block,7,100.0,387.5898000745413,100.0,100.0,100.0,164.63945002760738,432.1798700839281,264.42660003279644,113,2
block,8,100.0,192.845133288453,100.0,100.0,100.0,205.8794999611564,186.32794995210133,136.65313990786672,113,2
total,all,100.0,256.6108364771935,100.0,100.0,100.0,270.62934210621995,253.15172469860258,219.07629998999514,113,2
