phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.0,2.35,26,2
baseline,neutral,4.5,2.4,26,2
baseline,negative,3.5,6.55,26,2
regulation,negative,4.0,4.8,26,2
