trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,S,False,False,,True,0,0,12,1,N-back
1,Q,False,False,,True,0,0,12,1,N-back
2,E,False,False,,True,0,0,12,1,N-back
3,X,True,True,0.3961570000010397,True,0,0,12,1,N-back
4,G,False,False,,True,0,0,12,1,N-back
5,A,False,False,,True,0,0,12,1,N-back
6,X,True,False,,False,0,0,12,1,N-back
7,X,True,True,0.4506836000000476,True,0,0,12,1,N-back
8,X,True,True,0.46018309999999474,True,0,0,12,1,N-back
9,L,False,False,,True,0,0,12,1,N-back
10,X,True,True,0.3715327999998408,True,0,0,12,1,N-back
11,S,False,False,,True,0,0,12,1,N-back
12,T,False,False,,True,0,0,12,1,N-back
13,H,False,False,,True,0,0,12,1,N-back
14,W,False,False,,True,0,0,12,1,N-back
15,Z,False,False,,True,0,0,12,1,N-back
16,N,False,False,,True,0,0,12,1,N-back
17,V,False,False,,True,0,0,12,1,N-back
18,L,False,False,,True,0,0,12,1,N-back
19,X,True,True,0.42385599999943224,True,0,0,12,1,N-back
20,X,True,True,0.44804170000134036,True,0,0,12,1,N-back
21,S,False,False,,True,0,0,12,1,N-back
22,R,False,False,,True,0,0,12,1,N-back
23,H,False,False,,True,0,0,12,1,N-back
24,I,False,False,,True,0,0,12,1,N-back
25,D,False,False,,True,0,0,12,1,N-back
26,F,False,False,,True,0,0,12,1,N-back
27,Z,False,False,,True,0,0,12,1,N-back
28,M,False,False,,True,0,0,12,1,N-back
29,C,False,False,,True,0,0,12,1,N-back
0,X,True,True,0.4663687000011123,True,0,1,12,1,N-back
1,X,True,True,0.38536410000051546,True,0,1,12,1,N-back
2,L,False,False,,True,0,1,12,1,N-back
3,X,True,True,0.446266500001002,True,0,1,12,1,N-back
4,W,False,False,,True,0,1,12,1,N-back
5,D,False,False,,True,0,1,12,1,N-back
6,M,False,False,,True,0,1,12,1,N-back
7,B,False,False,,True,0,1,12,1,N-back
8,X,True,True,0.4709213999994972,True,0,1,12,1,N-back
9,X,True,True,0.4746064999999362,True,0,1,12,1,N-back
10,X,True,True,0.4267935000007128,True,0,1,12,1,N-back
11,M,False,False,,True,0,1,12,1,N-back
12,Z,False,False,,True,0,1,12,1,N-back
13,X,True,True,0.4217908000009629,True,0,1,12,1,N-back
14,U,False,False,,True,0,1,12,1,N-back
15,X,True,True,0.49657870000010007,True,0,1,12,1,N-back
16,M,False,False,,True,0,1,12,1,N-back
17,T,False,False,,True,0,1,12,1,N-back
18,X,True,False,,False,0,1,12,1,N-back
19,X,True,True,0.47758109999995213,True,0,1,12,1,N-back
20,V,False,False,,True,0,1,12,1,N-back
21,S,False,False,,True,0,1,12,1,N-back
22,Z,False,False,,True,0,1,12,1,N-back
23,R,False,False,,True,0,1,12,1,N-back
24,C,False,False,,True,0,1,12,1,N-back
25,W,False,False,,True,0,1,12,1,N-back
26,X,True,False,,False,0,1,12,1,N-back
27,X,True,False,,False,0,1,12,1,N-back
28,X,True,True,0.38141300000097544,True,0,1,12,1,N-back
29,F,False,False,,True,0,1,12,1,N-back
0,C,False,False,,True,1,0,12,1,N-back
1,C,True,True,0.48663850000048114,True,1,0,12,1,N-back
2,Z,False,False,,True,1,0,12,1,N-back
3,B,False,False,,True,1,0,12,1,N-back
4,N,False,False,,True,1,0,12,1,N-back
5,L,False,False,,True,1,0,12,1,N-back
6,E,False,False,,True,1,0,12,1,N-back
7,L,False,False,,True,1,0,12,1,N-back
8,J,False,False,,True,1,0,12,1,N-back
9,T,False,False,,True,1,0,12,1,N-back
10,K,False,False,,True,1,0,12,1,N-back
11,H,False,False,,True,1,0,12,1,N-back
12,I,False,False,,True,1,0,12,1,N-back
13,Y,False,False,,True,1,0,12,1,N-back
14,B,False,False,,True,1,0,12,1,N-back
15,N,False,False,,True,1,0,12,1,N-back
16,M,False,False,,True,1,0,12,1,N-back
17,Z,False,False,,True,1,0,12,1,N-back
18,Z,True,False,,False,1,0,12,1,N-back
19,N,False,False,,True,1,0,12,1,N-back
20,X,False,False,,True,1,0,12,1,N-back
21,C,False,False,,True,1,0,12,1,N-back
22,R,False,False,,True,1,0,12,1,N-back
23,Q,False,False,,True,1,0,12,1,N-back
24,Q,True,True,0.34558950000064215,True,1,0,12,1,N-back
25,P,False,False,,True,1,0,12,1,N-back
26,Y,False,False,,True,1,0,12,1,N-back
27,N,False,False,,True,1,0,12,1,N-back
28,K,False,False,,True,1,0,12,1,N-back
29,A,False,False,,True,1,0,12,1,N-back
0,Q,False,False,,True,1,1,12,1,N-back
1,Q,True,True,0.3301860999999917,True,1,1,12,1,N-back
2,X,False,False,,True,1,1,12,1,N-back
3,X,True,True,0.3442684999990888,True,1,1,12,1,N-back
4,K,False,False,,True,1,1,12,1,N-back
5,W,False,False,,True,1,1,12,1,N-back
6,T,False,False,,True,1,1,12,1,N-back
7,T,True,False,,False,1,1,12,1,N-back
8,H,False,False,,True,1,1,12,1,N-back
9,H,True,False,,False,1,1,12,1,N-back
10,C,False,False,,True,1,1,12,1,N-back
11,G,False,False,,True,1,1,12,1,N-back
12,X,False,False,,True,1,1,12,1,N-back
13,G,False,False,,True,1,1,12,1,N-back
14,K,False,False,,True,1,1,12,1,N-back
15,A,False,False,,True,1,1,12,1,N-back
16,U,False,False,,True,1,1,12,1,N-back
17,Q,False,False,,True,1,1,12,1,N-back
18,W,False,False,,True,1,1,12,1,N-back
19,B,False,False,,True,1,1,12,1,N-back
20,Z,False,False,,True,1,1,12,1,N-back
21,Z,True,False,,False,1,1,12,1,N-back
22,D,False,False,,True,1,1,12,1,N-back
23,D,True,False,,False,1,1,12,1,N-back
24,D,True,False,,False,1,1,12,1,N-back
25,U,False,False,,True,1,1,12,1,N-back
26,H,False,False,,True,1,1,12,1,N-back
27,H,True,False,,False,1,1,12,1,N-back
28,L,False,False,,True,1,1,12,1,N-back
29,N,False,False,,True,1,1,12,1,N-back
0,S,False,False,,True,2,0,12,1,N-back
1,O,False,False,,True,2,0,12,1,N-back
2,N,False,False,,True,2,0,12,1,N-back
3,Z,False,False,,True,2,0,12,1,N-back
4,V,False,False,,True,2,0,12,1,N-back
5,Z,True,True,0.4852716000004875,True,2,0,12,1,N-back
6,V,True,False,,False,2,0,12,1,N-back
7,G,False,False,,True,2,0,12,1,N-back
8,W,False,False,,True,2,0,12,1,N-back
9,G,True,False,,False,2,0,12,1,N-back
10,W,True,False,,False,2,0,12,1,N-back
11,V,False,False,,True,2,0,12,1,N-back
12,O,False,False,,True,2,0,12,1,N-back
13,F,False,False,,True,2,0,12,1,N-back
14,O,True,False,,False,2,0,12,1,N-back
15,K,False,False,,True,2,0,12,1,N-back
16,O,True,False,,False,2,0,12,1,N-back
17,N,False,False,,True,2,0,12,1,N-back
18,O,True,False,,False,2,0,12,1,N-back
19,Z,False,False,,True,2,0,12,1,N-back
20,K,False,False,,True,2,0,12,1,N-back
21,Z,True,False,,False,2,0,12,1,N-back
22,U,False,False,,True,2,0,12,1,N-back
23,Z,True,False,,False,2,0,12,1,N-back
24,I,False,False,,True,2,0,12,1,N-back
25,Z,True,False,,False,2,0,12,1,N-back
26,A,False,False,,True,2,0,12,1,N-back
27,R,False,False,,True,2,0,12,1,N-back
28,X,False,False,,True,2,0,12,1,N-back
29,N,False,False,,True,2,0,12,1,N-back
0,V,False,False,,True,2,1,12,1,N-back
1,Z,False,False,,True,2,1,12,1,N-back
2,O,False,True,0.3816275000008318,False,2,1,12,1,N-back
3,H,False,False,,True,2,1,12,1,N-back
4,B,False,False,,True,2,1,12,1,N-back
