balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,False,25,12.089346799999475,113,2,BART
1,4,False,20,11.841696999967098,113,2,BART
2,3,True,0,6.159865899942815,113,2,BART
3,4,False,20,9.040506500052288,113,2,BART
4,5,False,25,12.574684800114483,113,2,BART
5,4,True,0,10.390702500008047,113,2,BART
6,4,False,20,9.267795599997044,113,2,BART
7,5,False,25,12.775127700064331,113,2,BART
8,4,True,0,14.50167280016467,113,2,BART
9,4,True,0,13.684396700002253,113,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.2,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),135,,,,,,
每个气球平均收益(¥),13.5,,,,,,
