balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,False,25,2.8924703000229783,14,2,BART
1,4,True,0,0.9752805999596603,14,2,BART
2,3,True,0,1.1421854000072926,14,2,BART
3,4,False,20,3.557270499994047,14,2,BART
4,3,True,0,2.5009411000064574,14,2,BART
5,3,False,15,2.773762400029227,14,2,BART
6,5,False,25,2.6851159999496303,14,2,BART
7,4,False,20,2.6479339000070468,14,2,BART
8,4,True,0,2.9095391999580897,14,2,BART
9,3,False,15,3.8825571999768727,14,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.8,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),120,,,,,,
每个气球平均收益(¥),12.0,,,,,,
