balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,True,0,5.0460236999997505,25,1,BART
1,3,False,15,3.375898000000234,25,1,BART
2,5,False,25,3.5918728000006013,25,1,BART
3,3,True,0,2.924468899999738,25,1,BART
4,3,False,15,3.7090955000003305,25,1,BART
5,5,False,25,5.058065799999895,25,1,BART
6,2,True,0,2.174476700000014,25,1,BART
7,3,False,15,2.741945200000373,25,1,BART
8,4,True,0,3.614795800000138,25,1,BART
9,5,False,25,3.876579299999321,25,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.8,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),120,,,,,,
每个气球平均收益(¥),12.0,,,,,,
