balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,False,20,3.913765900000726,25,2,BART
1,4,False,20,4.00037809999958,25,2,BART
2,3,False,15,3.249899700000242,25,2,BART
3,5,False,25,4.058375099999466,25,2,BART
4,4,True,0,2.3085534000001644,25,2,BART
5,4,False,20,3.98235989999921,25,2,BART
6,3,False,15,2.7922120000002906,25,2,BART
7,2,True,0,1.8408739999995305,25,2,BART
8,3,False,15,4.3675941999990755,25,2,BART
9,5,False,25,4.141286300000502,25,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.7,,,,,,
爆炸率(%),20.0,,,,,,
总收益(¥),155,,,,,,
每个气球平均收益(¥),15.5,,,,,,
