balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,2.8144121998921037,119,2,BART
1,3,False,15,2.676466600038111,119,2,BART
2,4,False,20,3.0900217997841537,119,2,BART
3,3,False,15,3.1336848000064492,119,2,BART
4,4,False,20,2.9662255998700857,119,2,BART
5,3,False,15,2.9587340001016855,119,2,BART
6,4,False,20,3.182730400003493,119,2,BART
7,4,True,0,2.5101053002290428,119,2,BART
8,2,True,0,1.613262299913913,119,2,BART
9,1,False,5,2.4934526002034545,119,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.1,,,,,,
爆炸率(%),20.0,,,,,,
总收益(¥),125,,,,,,
每个气球平均收益(¥),12.5,,,,,,
