level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,279.8376166667064,,100.0,,,279.8376166667064,,25,1
block,2,91.66666666666666,294.6892083333144,,91.66666666666666,,,294.6892083333144,,25,1
block,3,100.0,401.801325000027,,100.0,,,401.801325000027,,25,1
block,4,100.0,206.59922499991504,,100.0,,,206.59922499991504,,25,1
block,5,100.0,236.2295583334344,,100.0,,,236.2295583334344,,25,1
block,6,91.66666666666666,200.1462249998743,,91.66666666666666,,,200.1462249998743,,25,1
block,7,100.0,249.10945833319906,,100.0,,,249.10945833319906,,25,1
block,8,91.66666666666666,204.37795000005585,,91.66666666666666,,,204.37795000005585,,25,1
total,all,96.875,259.0988208333158,,96.875,,,259.0988208333158,,25,1
