balloon,pumps,exploded,earned,rt,participant_id,session,task
0,8,True,0,10.026492199860513,124,1,BART
1,2,True,0,1.9536884999834,124,1,BART
2,5,True,0,6.059066700283438,124,1,BART
3,4,True,0,2.823141200002283,124,1,BART
4,3,False,15,5.068171199876815,124,1,BART
5,4,False,20,6.232530300039798,124,1,BART
6,7,False,35,22.05037509975955,124,1,BART
7,3,True,0,2.4446355998516083,124,1,BART
8,6,False,30,9.405204500071704,124,1,BART
9,5,True,0,3.616332999896258,124,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.7,,,,,,
爆炸率(%),60.0,,,,,,
总收益(¥),100,,,,,,
每个气球平均收益(¥),10.0,,,,,,
