level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,558.295674999196,100.0,100.0,100.0,146.36913333257928,834.2170333320004,418.379500000204,18,1
block,2,91.66666666666666,448.9157499995902,100.0,83.33333333333334,100.0,377.5420400008443,459.79283333205484,740.5217999985325,18,1
block,3,100.0,578.6667499996838,100.0,100.0,100.0,300.0890000002982,687.0537857139425,617.1787499988568,18,1
block,4,100.0,397.63362500040483,100.0,100.0,100.0,410.52229999986594,425.13951666721067,168.1549000022641,18,1
block,5,100.0,437.9503333332953,100.0,100.0,100.0,308.6915499989118,524.8372166673411,435.80724999992526,18,1
block,6,100.0,290.9976416673696,100.0,100.0,100.0,91.61663333361501,372.3419875009313,238.3859000001393,18,1
block,7,100.0,534.5254833331031,100.0,100.0,100.0,466.8444333328807,423.29995000091003,664.114539998991,18,1
block,8,100.0,634.4167181811248,100.0,100.0,,444.46783999956097,792.7074499990946,,18,1
total,all,98.94736842105263,483.6042842103588,100.0,97.95918367346938,100.0,335.8769258062943,565.3362551019367,521.9163866662711,18,1
