phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.1,4.5,6,1
baseline,neutral,4.8,2.25,6,1
baseline,negative,1.95,3.45,6,1
regulation,negative,3.5,2.35,6,1
