balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,4.43307220004499,111,2,BART
1,5,False,25,8.377985400147736,111,2,BART
2,6,True,0,8.356143099954352,111,2,BART
3,6,True,0,6.169878100045025,111,2,BART
4,5,False,25,4.27378710010089,111,2,BART
5,5,False,25,3.2834613998420537,111,2,BART
6,6,False,30,5.600778199965134,111,2,BART
7,7,False,35,8.074092000024393,111,2,BART
8,6,True,0,3.167621900094673,111,2,BART
9,6,True,0,4.517473299987614,111,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.5,,,,,,
爆炸率(%),50.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
