trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,V,False,False,,True,0,0,6,1,N-back
1,X,True,True,0.3624302000098396,True,0,0,6,1,N-back
2,X,True,True,0.3514943000045605,True,0,0,6,1,N-back
3,K,False,False,,True,0,0,6,1,N-back
4,E,False,False,,True,0,0,6,1,N-back
5,X,True,True,0.3675133999931859,True,0,0,6,1,N-back
6,X,True,True,0.4414051999920048,True,0,0,6,1,N-back
7,Q,False,False,,True,0,0,6,1,N-back
8,V,False,False,,True,0,0,6,1,N-back
9,W,False,False,,True,0,0,6,1,N-back
10,E,False,False,,True,0,0,6,1,N-back
11,N,False,False,,True,0,0,6,1,N-back
12,L,False,False,,True,0,0,6,1,N-back
13,M,False,False,,True,0,0,6,1,N-back
14,D,False,False,,True,0,0,6,1,N-back
15,X,True,True,0.37786370000685565,True,0,0,6,1,N-back
16,K,False,False,,True,0,0,6,1,N-back
17,N,False,False,,True,0,0,6,1,N-back
18,X,True,True,0.3624228000117,True,0,0,6,1,N-back
19,C,False,False,,True,0,0,6,1,N-back
20,X,True,True,0.38745350000681356,True,0,0,6,1,N-back
21,X,True,True,0.4549322000093525,True,0,0,6,1,N-back
22,E,False,False,,True,0,0,6,1,N-back
23,X,True,True,0.35374779999256134,True,0,0,6,1,N-back
24,P,False,False,,True,0,0,6,1,N-back
25,E,False,False,,True,0,0,6,1,N-back
26,H,False,False,,True,0,0,6,1,N-back
27,X,True,True,0.37806089999503456,True,0,0,6,1,N-back
28,T,False,False,,True,0,0,6,1,N-back
29,I,False,False,,True,0,0,6,1,N-back
0,X,True,True,0.3304643000010401,True,0,1,6,1,N-back
1,L,False,False,,True,0,1,6,1,N-back
2,R,False,False,,True,0,1,6,1,N-back
3,Y,False,False,,True,0,1,6,1,N-back
4,X,True,True,0.3157326000073226,True,0,1,6,1,N-back
5,S,False,False,,True,0,1,6,1,N-back
6,O,False,False,,True,0,1,6,1,N-back
7,X,True,True,0.36574120000295807,True,0,1,6,1,N-back
8,I,False,False,,True,0,1,6,1,N-back
9,G,False,False,,True,0,1,6,1,N-back
10,H,False,False,,True,0,1,6,1,N-back
11,B,False,False,,True,0,1,6,1,N-back
12,W,False,False,,True,0,1,6,1,N-back
13,X,True,True,0.3808297999930801,True,0,1,6,1,N-back
14,R,False,False,,True,0,1,6,1,N-back
15,X,True,True,0.39407110000320245,True,0,1,6,1,N-back
16,L,False,False,,True,0,1,6,1,N-back
17,W,False,False,,True,0,1,6,1,N-back
18,Q,False,False,,True,0,1,6,1,N-back
19,E,False,False,,True,0,1,6,1,N-back
20,G,False,False,,True,0,1,6,1,N-back
21,B,False,False,,True,0,1,6,1,N-back
22,I,False,False,,True,0,1,6,1,N-back
23,Y,False,False,,True,0,1,6,1,N-back
24,D,False,False,,True,0,1,6,1,N-back
25,Y,False,False,,True,0,1,6,1,N-back
26,A,False,False,,True,0,1,6,1,N-back
27,M,False,False,,True,0,1,6,1,N-back
28,H,False,False,,True,0,1,6,1,N-back
29,Q,False,False,,True,0,1,6,1,N-back
0,J,False,False,,True,1,0,6,1,N-back
1,J,True,True,0.3036738999944646,True,1,0,6,1,N-back
2,J,True,True,0.4492273999931058,True,1,0,6,1,N-back
3,J,True,True,0.44522300000244286,True,1,0,6,1,N-back
4,H,False,False,,True,1,0,6,1,N-back
5,H,True,True,0.39786589999857824,True,1,0,6,1,N-back
6,W,False,False,,True,1,0,6,1,N-back
7,R,False,False,,True,1,0,6,1,N-back
8,J,False,False,,True,1,0,6,1,N-back
9,V,False,False,,True,1,0,6,1,N-back
10,R,False,False,,True,1,0,6,1,N-back
11,R,True,True,0.38319969999429304,True,1,0,6,1,N-back
12,G,False,False,,True,1,0,6,1,N-back
13,G,True,False,,False,1,0,6,1,N-back
14,N,False,False,,True,1,0,6,1,N-back
15,O,False,False,,True,1,0,6,1,N-back
16,A,False,False,,True,1,0,6,1,N-back
17,H,False,False,,True,1,0,6,1,N-back
18,T,False,False,,True,1,0,6,1,N-back
19,W,False,False,,True,1,0,6,1,N-back
20,N,False,False,,True,1,0,6,1,N-back
21,N,True,True,0.46494440000969917,True,1,0,6,1,N-back
22,N,True,False,,False,1,0,6,1,N-back
23,N,True,True,0.40077279999968596,True,1,0,6,1,N-back
24,N,True,True,0.3691273000004003,True,1,0,6,1,N-back
25,B,False,False,,True,1,0,6,1,N-back
26,B,True,False,,False,1,0,6,1,N-back
27,O,False,False,,True,1,0,6,1,N-back
28,V,False,False,,True,1,0,6,1,N-back
29,W,False,False,,True,1,0,6,1,N-back
0,S,False,False,,True,1,1,6,1,N-back
1,O,False,False,,True,1,1,6,1,N-back
2,E,False,False,,True,1,1,6,1,N-back
3,E,True,True,0.482513499999186,True,1,1,6,1,N-back
4,F,False,False,,True,1,1,6,1,N-back
5,S,False,False,,True,1,1,6,1,N-back
6,K,False,False,,True,1,1,6,1,N-back
7,E,False,False,,True,1,1,6,1,N-back
8,G,False,False,,True,1,1,6,1,N-back
9,D,False,False,,True,1,1,6,1,N-back
10,V,False,False,,True,1,1,6,1,N-back
11,F,False,False,,True,1,1,6,1,N-back
12,G,False,False,,True,1,1,6,1,N-back
13,D,False,False,,True,1,1,6,1,N-back
14,D,True,True,0.4741578999964986,True,1,1,6,1,N-back
15,S,False,False,,True,1,1,6,1,N-back
16,O,False,False,,True,1,1,6,1,N-back
17,W,False,False,,True,1,1,6,1,N-back
18,L,False,False,,True,1,1,6,1,N-back
19,V,False,False,,True,1,1,6,1,N-back
20,L,False,False,,True,1,1,6,1,N-back
21,D,False,False,,True,1,1,6,1,N-back
22,X,False,False,,True,1,1,6,1,N-back
23,U,False,False,,True,1,1,6,1,N-back
24,P,False,False,,True,1,1,6,1,N-back
25,J,False,False,,True,1,1,6,1,N-back
26,J,True,True,0.4508140999969328,True,1,1,6,1,N-back
27,B,False,False,,True,1,1,6,1,N-back
28,E,False,False,,True,1,1,6,1,N-back
29,I,False,False,,True,1,1,6,1,N-back
0,U,False,False,,True,2,0,6,1,N-back
1,G,False,False,,True,2,0,6,1,N-back
2,F,False,False,,True,2,0,6,1,N-back
3,F,False,False,,True,2,0,6,1,N-back
4,F,True,False,,False,2,0,6,1,N-back
5,O,False,False,,True,2,0,6,1,N-back
6,F,True,False,,False,2,0,6,1,N-back
7,O,True,False,,False,2,0,6,1,N-back
8,G,False,False,,True,2,0,6,1,N-back
9,T,False,False,,True,2,0,6,1,N-back
10,I,False,False,,True,2,0,6,1,N-back
11,T,True,False,,False,2,0,6,1,N-back
12,I,True,False,,False,2,0,6,1,N-back
13,P,False,False,,True,2,0,6,1,N-back
14,C,False,False,,True,2,0,6,1,N-back
15,P,True,True,0.40393119999498595,True,2,0,6,1,N-back
16,B,False,False,,True,2,0,6,1,N-back
17,W,False,False,,True,2,0,6,1,N-back
18,B,True,False,,False,2,0,6,1,N-back
19,F,False,False,,True,2,0,6,1,N-back
20,A,False,False,,True,2,0,6,1,N-back
21,I,False,False,,True,2,0,6,1,N-back
22,K,False,False,,True,2,0,6,1,N-back
23,B,False,False,,True,2,0,6,1,N-back
24,K,True,False,,False,2,0,6,1,N-back
25,O,False,False,,True,2,0,6,1,N-back
26,H,False,False,,True,2,0,6,1,N-back
27,Q,False,False,,True,2,0,6,1,N-back
28,F,False,False,,True,2,0,6,1,N-back
29,Q,True,False,,False,2,0,6,1,N-back
0,K,False,False,,True,2,1,6,1,N-back
1,N,False,False,,True,2,1,6,1,N-back
2,K,True,False,,False,2,1,6,1,N-back
3,D,False,False,,True,2,1,6,1,N-back
4,K,True,True,0.4966525000054389,True,2,1,6,1,N-back
5,D,True,False,,False,2,1,6,1,N-back
6,D,False,True,0.4017117000039434,False,2,1,6,1,N-back
7,X,False,False,,True,2,1,6,1,N-back
8,D,True,True,0.39746110000123736,True,2,1,6,1,N-back
9,L,False,False,,True,2,1,6,1,N-back
10,O,False,False,,True,2,1,6,1,N-back
11,N,False,False,,True,2,1,6,1,N-back
12,C,False,False,,True,2,1,6,1,N-back
13,K,False,False,,True,2,1,6,1,N-back
14,S,False,False,,True,2,1,6,1,N-back
15,K,True,False,,False,2,1,6,1,N-back
16,D,False,False,,True,2,1,6,1,N-back
17,L,False,False,,True,2,1,6,1,N-back
18,W,False,False,,True,2,1,6,1,N-back
19,T,False,False,,True,2,1,6,1,N-back
20,X,False,False,,True,2,1,6,1,N-back
21,N,False,False,,True,2,1,6,1,N-back
22,F,False,False,,True,2,1,6,1,N-back
23,U,False,False,,True,2,1,6,1,N-back
24,H,False,False,,True,2,1,6,1,N-back
25,M,False,False,,True,2,1,6,1,N-back
26,V,False,False,,True,2,1,6,1,N-back
27,V,False,False,,True,2,1,6,1,N-back
28,U,False,False,,True,2,1,6,1,N-back
29,E,False,False,,True,2,1,6,1,N-back
