balloon,pumps,exploded,earned,rt,participant_id,session,task
0,7,True,0,23.60426099999995,16,1,BART
1,6,False,30,10.485409399999753,16,1,BART
2,7,True,0,8.028818500000398,16,1,BART
3,5,False,25,7.845161199999893,16,1,BART
4,5,False,25,7.616941600000246,16,1,BART
5,4,True,0,4.904939399999876,16,1,BART
6,5,False,25,5.0043626000001495,16,1,BART
7,5,False,25,8.34877890000007,16,1,BART
8,6,True,0,5.251554599999963,16,1,BART
9,5,True,0,4.410914999999932,16,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.5,,,,,,
爆炸率(%),50.0,,,,,,
总收益(¥),130,,,,,,
每个气球平均收益(¥),13.0,,,,,,
