phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.65,8.1,30,2
baseline,neutral,4.4,4.2,30,2
baseline,negative,1.55,8.0,30,2
regulation,negative,2.4,7.35,30,2
