balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,5.1153682000003755,22,1,BART
1,4,False,20,5.098881199999596,22,1,BART
2,5,True,0,7.71376009999949,22,1,BART
3,5,False,25,5.103042799994,22,1,BART
4,6,False,30,4.724716400000034,22,1,BART
5,5,True,0,6.304670400000759,22,1,BART
6,6,False,30,5.404504399994039,22,1,BART
7,6,True,0,5.843255599989789,22,1,BART
8,5,False,25,4.281660499997088,22,1,BART
9,5,False,25,4.141671800010954,22,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.0,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),170,,,,,,
每个气球平均收益(¥),17.0,,,,,,
