phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.35,5.0,111,1
baseline,neutral,5.25,5.2,111,1
baseline,negative,2.65,6.5,111,1
regulation,negative,3.75,5.6,111,1
