balloon,pumps,exploded,earned,rt,participant_id,session,task
0,2,False,10,6.722644100000252,26,1,BART
1,11,True,0,11.123160899998766,26,1,BART
2,3,True,0,4.300743099998726,26,1,BART
3,1,False,5,2.6589137999999366,26,1,BART
4,2,False,10,2.808369100001073,26,1,BART
5,4,False,20,3.6503950000005716,26,1,BART
6,3,True,0,4.571600199999011,26,1,BART
7,1,False,5,1.8282650999990437,26,1,BART
8,3,False,15,4.668431599999167,26,1,BART
9,3,False,15,2.7227302999999665,26,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.3,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),80,,,,,,
每个气球平均收益(¥),8.0,,,,,,
