phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,5.65,4.1,122,1
baseline,neutral,3.6,4.7,122,1
baseline,negative,2.0,6.75,122,1
regulation,negative,2.95,6.9,122,1
