phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.05,3.85,4,1
baseline,neutral,4.9,2.55,4,1
baseline,negative,2.8,6.0,4,1
regulation,negative,3.5,4.8,4,1
