level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,316.21934999808826,100.0,100.0,100.0,424.01952499494655,286.674014284342,91.8360000068787,22,2
block,2,100.0,389.9671416656929,100.0,100.0,100.0,378.67770000593737,138.64322500012346,561.2795666626577,22,2
block,3,100.0,234.51276666673948,100.0,100.0,100.0,271.07689999684226,122.63138000271279,331.768499998725,22,2
block,4,100.0,300.16002499784616,100.0,100.0,100.0,154.10675000020996,375.6179999982123,144.3813999940175,22,2
block,5,100.0,269.40299166623544,100.0,100.0,100.0,25.9235000121407,303.98964999767486,167.0159000059357,22,2
block,6,100.0,226.3051499988554,100.0,100.0,100.0,392.46146666603937,337.06936666567344,87.8448833318543,22,2
block,7,100.0,246.73667500125396,100.0,100.0,100.0,305.8301000055508,230.31040000023492,253.34835000103334,22,2
block,8,100.0,303.955083333373,100.0,100.0,100.0,171.2734333365612,320.8655200025532,382.3282749945065,22,2
total,all,100.0,285.90739791601055,100.0,100.0,100.0,296.4520631587795,273.5461459995713,301.37828518302365,22,2
