balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,False,25,10.866931500000646,3,2,BART
1,3,True,0,3.9130568000000494,3,2,BART
2,5,False,25,7.737693699999909,3,2,BART
3,5,True,0,6.778422899999896,3,2,BART
4,5,True,0,3.687295599999743,3,2,BART
5,5,True,0,2.8826186999995116,3,2,BART
6,3,True,0,1.1774015000000873,3,2,BART
7,5,True,0,4.311236600000484,3,2,BART
8,4,False,20,2.9705770999999004,3,2,BART
9,5,False,25,7.208300000000236,3,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.5,,,,,,
爆炸率(%),60.0,,,,,,
总收益(¥),95,,,,,,
每个气球平均收益(¥),9.5,,,,,,
