level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,327.59851666439016,100.0,100.0,100.0,296.8662750063231,136.3005166640505,962.956999981543,15,1
block,2,100.0,373.5567333351355,100.0,100.0,100.0,118.63630003063,426.0419571489495,345.4376999870874,15,1
block,3,100.0,292.7466499871419,100.0,100.0,100.0,534.7962499654386,241.70505713638184,250.47729998671758,15,1
block,4,100.0,209.09143332877036,100.0,100.0,100.0,80.3327999892644,240.62979999143863,211.69660001760346,15,1
block,5,100.0,299.5034083238958,100.0,100.0,100.0,401.63572499295697,230.97986665864786,300.80939998151734,15,1
block,6,100.0,399.5992083364399,100.0,100.0,100.0,139.79800000864387,604.813979996834,337.93165000679437,15,1
block,7,100.0,246.63759166530022,100.0,100.0,100.0,311.3684999989345,246.26788570978013,231.10185000405178,15,1
block,8,100.0,227.84770000725982,100.0,100.0,100.0,144.12156667094675,242.45955000515093,282.3501333477907,15,1
total,all,100.0,297.0726552060417,100.0,100.0,100.0,265.30147999874316,288.57023461247223,341.9705458315245,15,1
