level,n_back,block,accuracy,mean_rt,participant_id,session
block,0.0,0.0,33.33333333333333,,3,1
block,0.0,1.0,91.66666666666666,,3,1
block,1.0,0.0,80.0,,3,1
block,1.0,1.0,60.0,,3,1
block,2.0,0.0,57.14285714285714,,3,1
block,2.0,1.0,33.33333333333333,,3,1
task,0.0,all,80.0,,3,1
task,1.0,all,70.0,,3,1
task,2.0,all,46.15384615384615,,3,1
