balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,5.472769599989988,7,2,BART
1,2,False,10,3.4558869999600574,7,2,BART
2,3,False,15,4.408053499995731,7,2,BART
3,5,False,25,6.216916000004858,7,2,BART
4,2,True,0,3.6439638000447303,7,2,BART
5,6,False,30,8.648451399989426,7,2,BART
6,5,False,25,7.400296299951151,7,2,BART
7,7,False,35,10.84036150004249,7,2,BART
8,6,True,0,9.204596699913964,7,2,BART
9,6,True,0,9.659815600025468,7,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.5,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
