level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,147.24961666555217,100.0,100.0,100.0,127.43062499430374,145.4021600016858,176.75403333366066,20,2
block,2,100.0,250.81468332912965,100.0,100.0,100.0,173.87919998873255,267.56597999774385,264.8375799966743,20,2
block,3,100.0,221.9130000024355,100.0,100.0,100.0,458.1297999975504,219.73448571640927,166.6712000042025,20,2
block,4,100.0,226.74904166948787,100.0,100.0,100.0,218.62847500233326,203.863975002605,257.75467500352534,20,2
block,5,100.0,170.55909166689767,100.0,100.0,100.0,115.44549999962325,212.9768333325046,153.53305000462564,20,2
block,6,100.0,230.7496416639575,100.0,100.0,100.0,180.68187499738997,259.07947999658063,250.29026666500914,20,2
block,7,100.0,135.24823333379268,100.0,100.0,100.0,90.75302500059479,160.60927142929611,135.7017999980598,20,2
block,8,100.0,202.1552666701609,100.0,100.0,100.0,86.0453000059351,249.64770000224235,128.295500006061,20,2
total,all,100.0,198.17982187517677,100.0,100.0,100.0,156.38947199855463,215.17325319198673,208.43263333457185,20,2
