balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,7.494187999982387,119,1,BART
1,4,False,20,6.150566900148988,119,1,BART
2,3,True,0,3.1866500000469387,119,1,BART
3,5,False,25,6.146181200165302,119,1,BART
4,5,True,0,6.39552849996835,119,1,BART
5,6,True,0,3.06527949962765,119,1,BART
6,3,True,0,1.8014355995692313,119,1,BART
7,4,True,0,2.9786183000542223,119,1,BART
8,2,False,10,2.9846826000139117,119,1,BART
9,3,True,0,2.9487753002904356,119,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.8,,,,,,
爆炸率(%),60.0,,,,,,
总收益(¥),70,,,,,,
每个气球平均收益(¥),7.0,,,,,,
