trial,word,color,response,rt,correct,block
0,蓝,Red,1,0.22324119999996128,True,0
1,绿,Green,2,0.026420099999995728,True,0
2,红,Blue,3,1.2002685999999585,True,0
3,蓝,Green,2,0.31620029999999133,True,0
4,红,Red,1,0.07277579999993122,True,0
5,红,Blue,3,0.18326139999999214,True,0
6,白,Red,1,0.0910450999999739,True,0
7,蓝,Red,1,0.13606949999996232,True,0
8,绿,Red,1,0.7421556000000464,True,0
9,红,Green,2,0.17801520000000437,True,0
10,绿,Red,1,0.17130489999999554,True,0
11,蓝,Blue,3,0.5502553000000034,True,0
0,白,Red,1,0.3339597000000367,True,1
1,绿,Green,2,0.18854740000006132,True,1
2,绿,Blue,3,0.29637579999996433,True,1
3,白,Blue,3,0.17846259999998892,True,1
4,蓝,Blue,3,0.568219900000031,True,1
5,红,Red,1,0.1629778000000215,True,1
6,红,Blue,3,0.46428800000001047,True,1
7,白,Blue,3,0.09124680000002172,True,1
8,蓝,Blue,3,0.039570000000026084,True,1
9,蓝,Red,1,0.11501680000003489,True,1
10,蓝,Blue,3,0.13226939999992737,True,1
11,蓝,Blue,3,0.1198399000001018,True,1
0,红,Red,1,0.11796520000007149,True,2
1,绿,Green,2,0.023055900000031215,True,2
2,白,Red,1,0.09645629999999983,True,2
3,蓝,Blue,2,0.19083150000005844,False,2
4,白,Red,1,0.293380700000057,True,2
5,蓝,Red,1,0.14083800000003066,True,2
6,蓝,Blue,3,0.3886113999999452,True,2
7,蓝,Red,1,0.0977987999999641,True,2
8,白,Blue,3,0.265850099999966,True,2
9,白,Green,2,0.17200289999993856,True,2
10,蓝,Green,2,0.22895229999994626,True,2
11,绿,Blue,3,0.26779770000007375,True,2
0,绿,Red,1,0.13882309999996778,True,3
1,绿,Red,1,0.11959469999999328,True,3
2,白,Red,1,0.02957050000009076,True,3
3,红,Green,2,0.1004652999999962,True,3
4,白,Green,2,0.5319290000001047,True,3
5,红,Blue,3,0.0795028000000002,True,3
6,蓝,Green,2,0.2107850000001008,True,3
7,红,Blue,3,0.20346510000001672,True,3
8,绿,Red,1,0.09263379999993049,True,3
9,红,Green,2,0.35440399999993133,True,3
10,蓝,Red,1,0.1755451000001358,True,3
11,白,Red,1,0.16667310000002544,True,3
0,白,Red,1,0.1428029000001061,True,4
1,绿,Blue,3,0.2139439999998558,True,4
2,白,Red,1,0.02233240000009573,True,4
3,红,Green,2,0.37343669999995655,True,4
4,蓝,Green,2,0.17610450000006495,True,4
5,蓝,Blue,3,0.08772620000013376,True,4
6,蓝,Blue,3,0.1742649000000256,True,4
7,白,Blue,3,0.12495560000002115,True,4
8,白,Green,2,0.10209559999998419,True,4
9,红,Green,2,0.21632590000012897,True,4
10,绿,Red,3,0.29475350000006983,False,4
11,红,Red,1,0.08255850000000464,True,4
0,白,Blue,3,0.3598480999999083,True,5
1,白,Red,1,0.1128297999998722,True,5
2,白,Blue,3,0.5484088000000611,True,5
3,蓝,Red,1,0.1566447000000153,True,5
4,白,Blue,3,0.22140390000004118,True,5
5,红,Green,2,0.41391790000011497,True,5
6,白,Blue,3,0.6743953999998666,True,5
7,蓝,Green,2,0.2332214999998996,True,5
8,蓝,Blue,3,0.09793579999995927,True,5
9,蓝,Green,2,0.24977260000014212,True,5
10,蓝,Red,1,0.5011520000000473,True,5
11,红,Green,2,0.10693989999981568,True,5
0,白,Green,2,0.4588241999999809,True,6
1,白,Blue,3,0.18370040000013432,True,6
2,蓝,Red,1,0.4028432000000066,True,6
3,绿,Red,1,0.09485709999989922,True,6
4,白,Green,2,0.4167420999999649,True,6
5,蓝,Green,2,0.18432310000002872,True,6
6,蓝,Blue,3,0.4316276000001835,True,6
7,白,Green,2,0.09052449999990131,True,6
8,白,Blue,3,0.3841495000001487,True,6
9,白,Red,1,0.3330031999998937,True,6
10,蓝,Red,1,0.054671500000040396,True,6
11,蓝,Blue,3,0.27747759999988375,True,6
0,绿,Green,2,0.23535119999996823,True,7
1,绿,Blue,3,0.3002868999999464,True,7
2,红,Red,1,0.08787320000010368,True,7
3,红,Blue,3,0.34629080000013346,True,7
4,红,Red,1,0.22966790000009496,True,7
5,绿,Green,2,0.22428019999983917,True,7
6,红,Blue,3,0.19607919999998558,True,7
7,红,Green,2,0.09866549999992458,True,7
8,蓝,Blue,3,0.09087590000012824,True,7
9,红,Blue,3,0.06376280000017687,True,7
10,红,Blue,3,0.057931400000143185,True,7
11,蓝,Blue,3,0.09743860000003224,True,7
