phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.95,5.35,19,1
baseline,neutral,4.25,3.95,19,1
baseline,negative,2.65,6.2,19,1
regulation,negative,1.85,6.8,19,1
