balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,False,20,5.041973700048402,107,1,BART
1,4,True,0,5.49695559986867,107,1,BART
2,5,False,25,5.613914600107819,107,1,BART
3,6,False,30,5.581562099978328,107,1,BART
4,4,True,0,3.3903246999252588,107,1,BART
5,5,True,0,4.375681299949065,107,1,BART
6,4,False,20,2.817330399993807,107,1,BART
7,5,False,25,3.6336622000671923,107,1,BART
8,6,False,30,4.949870399897918,107,1,BART
9,4,False,20,2.8240447000134736,107,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.7,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),170,,,,,,
每个气球平均收益(¥),17.0,,,,,,
