level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,773.1900000035239,100.0,100.0,100.0,987.4172666701875,697.2889500054104,710.764833333087,21,1
block,2,100.0,604.5003583324917,100.0,100.0,100.0,586.2145499995676,632.0180199982133,584.2970199999398,21,1
block,3,100.0,872.4351916680462,,100.0,100.0,,873.7243714276701,870.6303400045726,21,1
block,4,100.0,786.4372916653035,100.0,100.0,100.0,600.3210999915608,688.2347166683758,1026.7992499975662,21,1
block,5,90.9090909090909,1060.697799999616,100.0,85.71428571428571,100.0,1468.3156000028248,871.6633285699313,1314.7006500003044,21,1
block,6,100.0,689.8918499985787,100.0,100.0,100.0,626.0987999994541,739.5731999975396,675.634949999221,21,1
block,7,91.66666666666666,742.2780749996795,100.0,83.33333333333334,100.0,664.3303999953787,769.9205000002014,739.7882750010467,21,1
block,8,100.0,921.019318181524,100.0,100.0,,1027.7286249984172,860.0425714290136,,21,1
total,all,97.87234042553192,802.3795904255746,100.0,95.91836734693877,100.0,866.1014444434031,776.0945510205918,807.6008333338433,21,1
