trial,word,color,response,rt,correct,block
0,蓝,Green,2,0.34184900001855567,True,0
1,白,Blue,3,0.1866730999900028,True,0
2,白,Green,2,0.0977419999835547,True,0
3,红,Blue,3,0.08162119999178685,True,0
4,蓝,Green,2,0.18260110000846907,True,0
5,白,Red,1,1.1860512999992352,True,0
6,红,Blue,3,0.24377220001770183,True,0
7,绿,Green,2,0.17746080001234077,True,0
8,蓝,Red,1,0.12579839999671094,True,0
9,红,Blue,2,0.21507239999482408,False,0
10,白,Blue,3,0.15638690002379008,True,0
11,绿,Blue,3,0.20748149999417365,True,0
0,红,Blue,3,0.386485700000776,True,1
1,绿,Green,2,0.10514649999095127,True,1
2,蓝,Green,2,0.25092149997362867,True,1
3,红,Green,2,0.07945720001589507,True,1
4,红,Red,1,0.12389230000553653,True,1
5,白,Blue,3,0.06145880001713522,True,1
6,白,Blue,3,0.1537172999815084,True,1
7,蓝,Blue,3,0.9787494000047445,True,1
8,红,Red,1,0.0850100000097882,True,1
9,白,Red,1,0.31238929997198284,True,1
10,绿,Blue,3,0.6210583999927621,True,1
11,红,Blue,3,0.5335999000235461,True,1
0,红,Red,1,0.2948062000214122,True,2
1,绿,Blue,3,0.1997791000176221,True,2
2,绿,Blue,3,0.5097448000160512,True,2
3,蓝,Blue,3,0.4087889000074938,True,2
4,蓝,Blue,3,0.206659799994668,True,2
5,红,Green,2,0.18420469999546185,True,2
6,红,Green,2,0.05403450000449084,True,2
7,红,Red,1,0.18772749998606741,True,2
8,绿,Red,1,0.36753600000520237,True,2
9,白,Green,2,0.16565899999113753,True,2
10,蓝,Red,1,0.488070899999002,True,2
11,红,Blue,3,0.3772280999983195,True,2
0,蓝,Green,2,0.33848969999235123,True,3
1,白,Blue,3,0.13477630002307706,True,3
2,白,Red,1,0.586994000012055,True,3
3,红,Blue,3,0.08809070001007058,True,3
4,蓝,Blue,3,0.18552939998335205,True,3
5,蓝,Green,2,0.1697688999993261,True,3
6,绿,Blue,3,0.15703420000500046,True,3
7,蓝,Green,2,0.02320060000056401,True,3
8,蓝,Blue,3,0.42835179998655804,True,3
9,白,Red,1,0.18096409999998286,True,3
10,红,Green,2,0.15664119998109527,True,3
11,红,Green,2,0.08482479999656789,True,3
0,绿,Green,2,0.23317880000104196,True,4
1,白,Red,1,0.6273721999896225,True,4
2,蓝,Red,1,0.06105990000651218,True,4
3,红,Red,1,0.3764200000150595,True,4
4,蓝,Green,2,0.16811020000022836,True,4
5,白,Red,1,0.48461800001678057,True,4
6,红,Green,2,0.530993699998362,True,4
7,蓝,Red,1,0.3280856000201311,True,4
8,红,Green,2,0.11736809997819364,True,4
9,红,Blue,3,0.3081935000082012,True,4
10,红,Green,2,0.22713139999541454,True,4
11,红,Blue,3,0.06259359998512082,True,4
0,绿,Green,2,0.2579351000022143,True,5
1,绿,Red,1,0.03164860000833869,True,5
2,红,Blue,3,0.37171459998353384,True,5
3,绿,Green,2,0.45386179999331944,True,5
4,白,Red,1,0.2323337999987416,True,5
5,绿,Red,1,0.2224002000002656,True,5
6,绿,Blue,3,0.3462336999946274,True,5
7,白,Red,1,0.10611240001162514,True,5
8,白,Green,2,0.05276170000433922,True,5
9,蓝,Green,2,0.057457400020211935,True,5
10,白,Blue,3,0.020863200013991445,True,5
11,白,Green,2,0.1156708000053186,True,5
0,红,Green,2,0.2733085000072606,True,6
1,白,Red,1,0.5289482999942265,True,6
2,蓝,Blue,3,0.04130240000085905,True,6
3,红,Red,1,0.19114050001371652,True,6
4,蓝,Red,1,0.030507500021485612,True,6
5,白,Blue,3,0.030213300022296607,True,6
6,红,Green,2,0.6093277999898419,True,6
7,蓝,Blue,3,0.07009090000065044,True,6
8,白,Red,1,0.08408569998573512,True,6
9,红,Blue,3,0.4910735999874305,True,6
10,白,Blue,3,0.39534820002154447,True,6
11,蓝,Blue,3,0.2032552000018768,True,6
0,红,Blue,3,0.2062517000013031,True,7
1,红,Blue,3,0.3076389000052586,True,7
2,蓝,Green,2,0.02687309999600984,True,7
3,红,Green,2,0.0638461000053212,True,7
4,绿,Green,2,0.3800636999949347,True,7
5,蓝,Blue,3,0.08212730000377633,True,7
6,绿,Red,1,0.20915949999471195,True,7
7,蓝,Red,1,0.3688049000047613,True,7
8,蓝,Green,2,0.24291900001117028,True,7
9,白,Green,2,0.0016471999988425523,True,7
10,绿,Red,1,0.4086265999940224,True,7
11,蓝,Blue,3,0.04785869998158887,True,7
