phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.15,4.1,28,1
baseline,neutral,5.1,3.0,28,1
baseline,negative,2.3,6.25,28,1
regulation,negative,3.35,4.95,28,1
